DATE;WEEKDAY;HOUR_OF_THE_DAY;TOTAL_TIME;TOTAL_OCCUPIED_TIME;TOTAL_VACANT_TIME;TOTAL_UNKNOWN_TIME;BLOCK_ID_COUNT;TOTAL_OCCUPIED_RATIO;TOTAL_UNKNOW_RATIO
01/11/12;3; 00:00:00;14832000;5008185;9078615;745200;201;0.326587343507471;0.0502427184466019
01/11/12;3; 01:00:00;14832000;4514976;9569429;747595;201;0.288620641014001;0.050404193635383
01/11/12;3; 02:00:00;14832000;4168866;9917934;745200;201;0.270060843290757;0.0502427184466019
01/11/12;3; 03:00:00;14832000;4083425;10004543;744032;201;0.265157876665293;0.0501639697950378
01/11/12;3; 04:00:00;14832000;4138349;9950147;743504;201;0.264822352097554;0.0501283710895361
01/11/12;3; 05:00:00;14832000;4446837;9623516;761647;201;0.285582095709571;0.0513516046386192
01/11/12;3; 06:00:00;14832000;5291669;8733389;806942;201;0.335421645444391;0.0544054746494067
01/11/12;3; 07:00:00;14832000;5918620;7492513;1420867;201;0.400587110198258;0.0957973975188781
01/11/12;3; 08:00:00;14832000;6877103;6541273;1413624;201;0.482905208993802;0.0953090614886731
01/11/12;3; 09:00:00;14832000;7818864;6281739;731397;201;0.547364407985127;0.0493120954692557
01/11/12;3; 10:00:00;14832000;8906861;5192043;733096;201;0.63786093812254;0.0494266450916936